id,path,question,a,b,c,d,answer
train_0001,train/train_0001.jpg,이 사진 속 운동기구가 설치된 장소는 어디일까요?,학교 운동장,공원,헬스장 내부,쇼핑몰 내부,b
train_0002,train/train_0002.jpg,이 사진에 보이는 전통 한국 건축물은 무엇인가요?,궁궐,성,사찰,한옥,d
train_0003,train/train_0003.jpg,이 사진에서 보이는 탈것은 무엇인가요?,세발 오토바이,오토바이,자동차,자전거,a
train_0004,train/train_0004.jpg,이 사진에서 보이는 새는 무엇인가요?,참새,갈매기,백로,오리,c
train_0005,train/train_0005.jpg,이 사진에서 사람들이 모여서 보고 있는 것은 무엇인가요?,해수욕,바다 축제,불꽃놀이,해돋이,d
train_0006,train/train_0006.jpg,이 사진에서 보이는 강 위를 건너기 위해 설치된 시설은 무엇인가요?,징검다리,배,다리,터널,a
train_0007,train/train_0007.jpg,이 사진에서 볼 수 있는 것은 무엇인가요?,강가의 배,도시의 고층 건물,꽃이 만발한 나무와 돌담,사막의 모래언덕,c
train_0008,train/train_0008.jpg,이 사진 속에서 볼 수 없는 것은 무엇인가요?,스탠드 조명,컴퓨터,의자,책,b
train_0009,train/train_0009.jpg,이 도로에서 제한 속도는 얼마인가요?,50km/h,60km/h,30km/h,40km/h,d
train_0010,train/train_0010.jpg,이 공간의 벽에 주로 무엇이 장식되어 있나요?,식물과 꽃,그림과 조각품,거울과 액자,사진과 포스터,d
train_0011,train/train_0011.jpg,이미지에 보이는 축제 이름은 무엇인가요?,Høstmarked,V?rfestival,Vinterland,Sommerfest,c
train_0012,train/train_0012.jpg,이 사진에서 볼 수 있는 계절은 무엇인가요?,가을,봄,여름,겨울,d
train_0013,train/train_0013.jpg,이 사진에 보이는 장식된 나무는 무엇인가요?,부활절 달걀,추수감사절 칠면조,할로윈 호박,크리스마스 트리,d
train_0014,train/train_0014.jpg,이 사진에 보이는 두 대의 텔레비전 중 아래에 놓인 텔레비전의 색상은 무엇인가요?,은색,검은색,분홍색,흰색,c
train_0015,train/train_0015.jpg,이 사진에 보이는 스포츠 시설은 무엇인가요?,테니스 코트,축구장,농구장,배구장,a
train_0016,train/train_0016.jpg,이 사진에 보이는 인형들의 소재는 무엇일까요?,목재,금속,도자기,플라스틱,c
train_0017,train/train_0017.jpg,이 사진에서 판매하는 주요 상품은 무엇인가요?,다양한 종류의 튤립 꽃,향초와 디퓨저,크리스마스 장식품,도자기 그릇,a
train_0018,train/train_0018.jpg,이 사진에 보이는 스테인드글라스 창문의 주된 색상은 무엇인가요?,검은색과 흰색,분홍색과 주황색,노란색과 초록색,빨간색과 파란색,d
train_0019,train/train_0019.jpg,이 사진에서 볼 수 없는 크리스마스 장식은 무엇인가요?,산타 모자,작은 크리스마스 트리,랜턴,눈사람 인형,a
train_0020,train/train_0020.jpg,이 사진에 있는 음식과 음료는 무엇인가요?,치즈 케이크와 맥주,초콜릿 케이크와 화이트 와인,딸기 케이크와 레드 와인,쿠키와 커피,c
train_0021,train/train_0021.jpg,책장에 놓여 있지 않은 것은 무엇인가요?,음향기기,식물,책,의자,d
train_0022,train/train_0022.jpg,이 공간에서 볼 수 없는 것은 무엇인가요?,초록색 식물,빨간색 의자,흰색 조각상,파란색 곰 인형,b
train_0023,train/train_0023.jpg,다음 중 이미지에 보이는 시리얼 브랜드가 아닌 것은 무엇인가요?,Corn Flakes,Honey O`s,Frosted Flakes,Joe`s O`s,a
train_0024,train/train_0024.jpg,이 동상 위에 있는 동물은 무엇인가요?,말,소,사자,호랑이,b
train_0025,train/train_0025.jpg,이 사진 속 하늘에 보이는 구름의 종류는 무엇일까요?,권적운구름,층운구름,적운구름,권운구름,c
train_0026,train/train_0026.jpg,이 사진에서 주로 볼 수 있는 자연 현상은 무엇인가요?,맑은 하늘과 구름,일몰 풍경,비오는 날씨,산 정상,a
